,recipe_name,serving_size,cooking_time,difficulty,ingredients,recipe_url
0,Versatile veggie chilli,serves 4,1 hr,1,"['500g sweet potatoes', '1 level teaspoon cayenne pepper, plus extra for sprinkling', '1 heaped teaspoon ground cumin, plus extra for sprinkling', '1 level teaspoon ground cinnamon, plus extra for sprinkling', 'olive oil', '1 onion', '2 mixed-colour peppers', '2 cloves of garlic', '1 bunch of fresh coriander (30g)', '2 fresh mixed-colour chillies', '2 x 400g tins of beans, such as kidney, chickpea, pinto, cannellini', '2 x 400g tins of quality plum tomatoes', 'lime or lemon juice, or vinegar, to taste']",https://www.jamieoliver.com/recipes/vegetables/veggie-chilli/
1,Katsu-style tofu rice bowls,serves 4,40 mins plus marinating,3,"['450g firm tofu', '½ teaspoon ground turmeric', '2 tablespoons white miso', 'rice vinegar', 'mirin', '300g short grain brown rice', '60g breadcrumbs', '40g sesame seeds', 'olive oil', '½ teaspoon of curry powder', '2 tablespoons mango chutney', '½ a pineapple', '2 fresh red chillies', '4 spring onions', '400g mixed crunchy veg, such as carrots, sugar snaps, cucumber, cabbage', '½ a bunch of fresh coriander (15g)', 'hot chilli sauce, to serve']",https://www.jamieoliver.com/recipes/rice/katsu-style-tofu-rice-bowl/
2,Quick seafood pasta,serves 4,20 mins,3,"['300g dried linguine', '250g squid, gutted, cleaned, from sustainable sources', '250g mussels, scrubbed, debearded, from sustainable sources', '250g cockles or clams, scrubbed, from sustainable sources', '4 scallops with roe attached, from sustainable sources', '1 clove of garlic', '1 bunch of fresh flat-leaf parsley (30g)', '1 lemon', 'optional: 1 fresh red chilli', 'olive oil', '1 tablespoon baby capers', 'optional: 1 handful of samphire', '1 x 400g tin of quality plum tomatoes', '20g Parmesan cheese', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta/quick-seafood-pasta/
3,Roasted sweet potato burrito,serves 4,50 mins,3,"['2 medium sweet potatoes (600g)', 'olive oil', '2 cloves of garlic', '½ a teaspoon of sweet smoked paprika', '½ a teaspoon of ground cumin', '1 x 400g tin black beans', '150g long grain rice', '200g spinach', '6 spring onions', '100g sliced pickled jalapeños', '½ a bunch of fresh coriander (15g)', '4 wholemeal tortillas', '4 tablespoons dairy-free yoghurt', '1-2 limes']",https://www.jamieoliver.com/recipes/vegetables/roasted-sweet-potato-burrito/
4,Cheat's squash pasta,serves 4,1 hr 40 mins,1,"['1 butternut squash (1.2kg)', '1 ciabatta roll (85g)', '½ a bunch of fresh thyme or rosemary (15g)', '1 clove of garlic', 'olive oil', '500g fresh lasagne sheets', '50g Parmesan cheese, plus extra to serve', 'extra virgin olive oil', 'optional: chilli oil']",https://www.jamieoliver.com/recipes/pasta/cheats-squash-pasta/
5,Easy salmon en croûte,serves 4,55 mins,3,"['1 onion', 'olive oil', '4 cloves of garlic', '500g frozen spinach', '1 x 320g sheet of all-butter puff pastry', '4 x 130g salmon fillets, skin off, pin-boned, from sustainable sources', '2 large free-range eggs', '1 heaped tablespoon red pesto', '1 lemon']",https://www.jamieoliver.com/recipes/salmon/easy-salmon-en-croute/
6,Roast duck with Marsala gravy,serves 6,2 hrs 20 mins,3,"['1 x 1.6kg whole duck', '2 heaped teaspoons Chinese five-spice powder', '1 clementine', '6 fresh bay leaves', '1 bulb of garlic', '2 carrots', '2 red onions', '3 tablespoons plain flour', '100ml Marsala', '1 litre organic chicken stock']",https://www.jamieoliver.com/recipes/duck/roast-duck-with-marsala-gravy/
7,Roasted veggie curry,serves 8,1 hr 10 mins,3,"['1 heaped teaspoon Madras curry paste', 'olive oil', 'red wine vinegar', '1 parsnip', '2 carrots', '½ a butternut squash (600g)', '1 courgette', '200g frozen cauliflower', '4cm piece of ginger', '2 cloves of garlic', '2 tablespoons good mango chutney', '1 x 400g tin of quality plum tomatoes', '1 x 400g tin of light coconut milk', '100g frozen peas', '1 small knob of unsalted butter', '6 cloves', '½ a cinnamon stick', '1 small leek', '300g frozen spinach', '2 mugs (600g) of self-raising flour, plus extra for dusting', '100g feta cheese']",https://www.jamieoliver.com/recipes/curry/roasted-veggie-curry/
8,Beautiful courgette carbonara,serves 6,20 mins,3,"['6 medium green and yellow courgettes', '500g penne', '4 large eggs', '100ml single cream', '1 small handful of Parmesan cheese', 'olive oil', '6 slices of back bacon', '½ a bunch of fresh thyme (15g)', 'optional: a few courgette flowers']",https://www.jamieoliver.com/recipes/pasta/beautiful-courgette-penne-carbonara/
9,Roasted black bean burgers,serves 4,40 mins,3,"['1½ red onions', '200g mixed mushrooms', '100g rye bread', 'ground coriander', '1 x 400g tin of black beans', 'olive oil', '40g mature Cheddar cheese', '4 soft rolls', '100g ripe cherry tomatoes', '1 lime', 'chipotle Tabasco sauce', '1 ripe mango', '1 ripe avocado', '4 tablespoons natural yoghurt', '4 sprigs of fresh coriander']",https://www.jamieoliver.com/recipes/vegetables/roasted-black-bean-burgers/
